ID,Term_EN,Term_DE,Definition_EN,Definition_DE,Domain,Safety_Level
AUG-1035,Gentle Nudge,Sanfter Schubs,,"Eine minimale Erinnerung oder Korrektur, die Orientierung gibt, ohne Druck auszuüben.",fun,2
AUG-1036,Mistake Friend,Fehler-Freund,,"Ein Umgang mit Fehlern, der sie als normale Begleiter produktiver Arbeit integriert.",fun,2
AUG-1038,Chill Comeback,Entspanntes Zurückkommen,,Die stressfreie Rückkehr zu einem Thema nach Unterbrechung oder Missverständnis.,fun,2
AUG-1041,Flex Flow,Flexibler Flow,,"Der Zustand, in dem Anpassungen erfolgen, ohne den Arbeitsfluss zu verlieren.",fun,2
AUG-1045,Drift Fix,Abdrift-Korrektur,,Das gezielte Zurückholen eines Gesprächs zum Kernziel.,fun,2
AUG-1047,Bounce Back,Zurückfedern,,Die schnelle emotionale Erholung nach einem Fehlversuch.,fun,2
AUG-1053,Smile Boost,Lächel-Boost,,"Ein kurzer emotionaler Aufheller, der Stimmung hebt, ohne Ablenkung oder Euphorisierung.",fun,2
AUG-1056,Mini Magic,Mini-Magie,,"Kleine, alltagsnahe KI-Eingriffe, die unverhältnismäßig nützlich wirken.",fun,2
AUG-1057,Flow Friend,Flow-Freund,,"Die KI als unaufdringlicher Begleiter, der den Arbeitsfluss unterstützt, ohne ihn zu dominieren.",fun,2
AUG-1063,Contentment Zone,Zufriedenheits-Zone,,"Ein stabiler Zustand innerer Ruhe, in dem kein Optimierungsdruck besteht.",fun,2
AUG-1068,End-of-Day High,Tagesabschluss-Hoch,,"Ein positiver emotionaler Abschluss, der den Tag abrundet und Integration ermöglicht.",fun,2
AUG-1009,Reset Noise,Reset-Rauschen,,"Absichtlich ungeordneter Input, um festgefahrene Denkpfade zu verlassen. Struktur entsteht erst im zweiten Schritt.",fun,2
AUG-1020,Motivation Fire,Motivations-Feuer,,"Ein aktivierender Impuls, der Handlungsenergie freisetzt, ohne zu überfordern. Kurz, klar, nach vorne gerichtet.",fun,2
AUG-1033,Reset Ruck,Reset-Ruck,,"Ein klarer Neustart, wenn sich Gedanken oder Dialog verheddert haben.",fun,2
AUG-1065,Morning Magic,Morgen-Magie,,"Ein strukturierender, positiver Einstieg in den Tag durch kurze KI-Interaktion.",fun,2
AUG-0204,The Conversational Afterimage,,"The aftereffect of an intensive AI session in which the user adopts formulations, thinking structures, or argumentation patterns from the AI dialogue into their everyday communication — often unconsciously. Related to AUG-0046 (The Felt Echo), AUG-0003 (Fluide Identitätsmorphologie), and AUG-0125 (The Feedback Effect).","Die Nachwirkung einer intensiven KI-Sitzung, bei der der Nutzer Formulierungen, Denkstrukturen oder Argumentationsmuster aus dem KI-Dialog in seine alltägliche Kommunikation übernimmt — oft unbewusst. Steht in Verbindung mit AUG-0046 (The Felt Echo), AUG-0003 (Fluide Identitätsmorphologie) und AUG-0125 (The Feedback Effect).",compendium,2
AUG-0045,Indexical Memory,,The shift of the memory function from content knowledge to knowledge about storage location. The user no longer remembers the information itself but where and how to retrieve it via AI. Describes a fundamental shift in personal knowledge management in the AI era. Related to AUG-0014 (The Extended Mind Map) and AUG-0015 (The Outer Mind).,"Die Verlagerung der Erinnerungsfunktion vom inhaltlichen Wissen hin zum Wissen über den Speicherort. Der Nutzer merkt sich nicht mehr die Information selbst, sondern wo und wie er sie über KI abrufen kann. Beschreibt eine fundamentale Verschiebung im persönlichen Wissensmanagement der KI-Ära. Steht in Verbindung mit AUG-0014 (The Extended Mind Map) und AUG-0015 (The Outer Mind).",compendium,2
AUG-0345,The Wall Check,,"The moment a user encounters the limits of an AI system — the AI cannot solve the task, provides faulty information, or reveals comprehension limits. Describes the productive experience of learning a system's limitations. Related to Axiom 9 (Productive Skepticism), AUG-0177 (The Trust Setting), and AUG-0176 (The Capability Discovery).","Der Moment, in dem ein Nutzer an die Grenzen eines KI-Systems stößt — die KI kann die Aufgabe nicht lösen, gibt fehlerhafte Informationen oder zeigt Verständnisgrenzen auf. Beschreibt die produktive Erfahrung, die Limitationen eines Systems kennenzulernen. Steht in Verbindung mit Axiom 9 (Produktiver Skeptizismus), AUG-0177 (The Trust Setting) und AUG-0176 (The Capability Discovery).",compendium,2
AUG-1007,Clarity Click,Klarheits-Klick,,"Der abrupte Übergang von diffuser Unsicherheit zu klarer mentaler Struktur, oft ausgelöst durch eine präzise Spiegelung der KI.",fun,2
AUG-1016,Relaxed Return,Entspannter Rückweg,,"Das sanfte Wiederanknüpfen an ein Thema nach Überforderung, Ablenkung oder Abbruch – ohne Schuldzuweisung oder Druck.",fun,2
AUG-1021,Energy Kiss,Energie-Kuss,,"Eine kleine, freundliche Bestätigung, die Energie gibt, ohne Leistungsdruck aufzubauen.",fun,2
AUG-1024,Optimism Opener,Optimismus-Öffner,,"Eine Perspektivverschiebung hin zu Chancen, ohne Probleme zu verleugnen.",fun,2
AUG-1039,Light Swing,Licht-Schwenk,,Ein mentaler Umschwung von Frust zu konstruktiver Offenheit.,fun,2
AUG-1048,Soft Landing,Sanfte Landung,,Das Abmildern überzogener Ideen in realisierbare Schritte.,fun,2
AUG-1049,Grin Shift,Grinsen-Wechsel,,Der Übergang von Anspannung zu Leichtigkeit durch kleine positive Impulse.,fun,2
AUG-1062,Lightness Lift,Leichtigkeits-Lift,,Das gezielte Reduzieren innerer Schwere durch sprachliche oder perspektivische Entlastung.,fun,2
AUG-0089,The Pattern Sharpening,,"The effect whereby a user, through regular AI interaction, improves their ability to recognize patterns in data, texts, or arguments — the AI indirectly trains the human's pattern recognition. Describes a positive feedback effect of AI use on human analytical ability. Related to AUG-0054 (Augmented Understanding) and AUG-0088 (Algorithmic Intuition).","Der Effekt, dass ein Nutzer durch regelmäßige KI-Interaktion seine Fähigkeit verbessert, Muster in Daten, Texten oder Argumenten zu erkennen — die KI trainiert indirekt die Mustererkennung des Menschen. Beschreibt einen positiven Rückkopplungseffekt der KI-Nutzung auf die menschliche Analysefähigkeit. Steht in Verbindung mit AUG-0054 (Augmented Understanding) und AUG-0088 (Algorithmic Intuition).",compendium,2
AUG-0422,The Calibrated Trust,Das Kalibrierte Vertrauen,"The user practice of matching AI-output confidence to verification effort: high-stakes outputs receive verification, routine outputs receive proportional checks. Trust is shaped by context rather than uniformly granted or withheld.","Die Nutzer-Praxis, das Vertrauen in KI-Ergebnisse an den Verifikations-Aufwand zu koppeln: wichtige Ergebnisse werden geprüft, Routine-Ergebnisse erhalten verhältnismäßige Checks. Vertrauen wird durch den Kontext gestaltet.",compendium,2
AUG-0614,The Synthetic Spotting,,"The ability to recognize AI-generated content — through stylistic features, typical formulation patterns, or content indicators. Related to AUG-0378 (The Turing Suspicion), AUG-0452 (The Reality Blur), and AUG-0088 (Algorithmic Intuition).","Die Fähigkeit, KI-generierte Inhalte zu erkennen — durch stilistische Merkmale, typische Formulierungsmuster oder inhaltliche Indikatoren. Steht in Verbindung mit AUG-0378 (The Turing Suspicion), AUG-0452 (The Reality Blur) und AUG-0088 (Algorithmic Intuition).",compendium,2
AUG-0775,The KI-Free Zone,,"The conscious establishment of areas — spatial, temporal, or thematic — in which AI use is excluded. Related to AUG-0773 (The Conscious Refusal), AUG-0632 (The Offline Moment), and AUG-0565 (The Balance Filter).","Die bewusste Einrichtung von Bereichen — räumlich, zeitlich oder thematisch — in denen KI-Nutzung ausgeschlossen ist. Steht in Verbindung mit AUG-0773 (The Conscious Refusal), AUG-0632 (The Offline Moment) und AUG-0565 (The Balance Filter).",compendium,2
AUG-0260,The Plot Twist Partner,,"The use of AI as a creative sparring partner for narrative twists — in stories, presentations, pitches, or argumentation chains. Describes the AI's function as a supplier of unexpected plot changes and alternative storylines. Related to AUG-0235 (The Brainstorm Spark), AUG-0248 (The Surprise Angle), and the Experimenter Profile (Profile 4).","Die Nutzung von KI als kreativer Sparringspartner für narrative Wendungen — in Geschichten, Präsentationen, Pitches oder Argumentationsketten. Beschreibt die KI-Funktion als Lieferant unerwarteter Handlungswechsel und alternativer Erzählstränge. Steht in Verbindung mit AUG-0235 (The Brainstorm Spark), AUG-0248 (The Surprise Angle) und dem Experimenter-Profil (Profil 4).",compendium,2
AUG-0370,The Pet Lookup,,"The use of AI for quick information gathering on pet care questions — feeding, behavior, health prevention, species-appropriate husbandry. Describes a specific everyday application of Just-in-Time Competence (AUG-0043). Related to AUG-0251 (The Kitchen Table) and AUG-0216 (The Parenting Update).","Die Nutzung von KI zur schnellen Informationsbeschaffung in Tierhaltungsfragen — Fütterung, Verhalten, Gesundheitsvorsorge, Artgerechte Haltung. Beschreibt eine spezifische Alltagsanwendung von Just-in-Time Competence (AUG-0043). Steht in Verbindung mit AUG-0251 (The Kitchen Table) und AUG-0216 (The Parenting Update).",compendium,2
AUG-0430,The Vintage Loop,,"The return to an old, proven AI workflow after a new approach did not bring the desired success — the recognition that the established sometimes works better than the newest. Related to AUG-0382 (The Architect's Exit), AUG-0277 (The Loyalty Glitch), and AUG-0207 (The Return to Manual).","Die Rückkehr zu einem alten, bewährten KI-Workflow, nachdem ein neuer Ansatz nicht den gewünschten Erfolg gebracht hat — die Erkenntnis, dass das Bewährte manchmal besser funktioniert als das Neueste. Steht in Verbindung mit AUG-0382 (The Architect's Exit), AUG-0277 (The Loyalty Glitch) und AUG-0207 (The Return to Manual).",compendium,2
AUG-0534,The Hidden Angle Finder,,"The use of AI to discover a previously unconsidered perspective in a familiar topic — the hidden angle the user would not have found alone. Related to AUG-0248 (The Surprise Angle), AUG-0040 (Perspective Triangulation), and AUG-0225 (The Unexpected Voice).","Die Nutzung von KI, um in einem bekannten Thema eine bisher nicht betrachtete Perspektive zu entdecken — der verborgene Winkel, den der Nutzer allein nicht gefunden hätte. Steht in Verbindung mit AUG-0248 (The Surprise Angle), AUG-0040 (Perspective Triangulation) und AUG-0225 (The Unexpected Voice).",compendium,2
AUG-0639,The Duplicate Notice,,"The user's recognition that an AI response is substantively a repetition of an earlier response — differently formulated but identical in core. Related to AUG-0560 (The Conversation Loop), AUG-0383 (The Context Collapse), and AUG-0088 (Algorithmic Intuition).","Die Erkenntnis des Nutzers, dass eine KI-Antwort inhaltlich eine Wiederholung einer früheren Antwort ist — verschieden formuliert, aber im Kern identisch. Steht in Verbindung mit AUG-0560 (The Conversation Loop), AUG-0383 (The Context Collapse) und AUG-0088 (Algorithmic Intuition).",compendium,2
AUG-0675,The Role-Aware Input,,"An input pattern in which the user incorporates social roles into the formulation — ""As a parent I need…,"" ""In my function as…."" The input is contextualized through the user's role. Related to AUG-0491 (The State Label), AUG-0650 (The Context-Sensitive Query), and AUG-0524 (The Context Layer).","Ein Eingabemuster, bei dem der Nutzer soziale Rollen in die Formulierung einbezieht — ""Als Elternteil brauche ich…"", ""In meiner Funktion als…"". Die Eingabe wird durch die Rolle des Nutzers kontextualisiert. Steht in Verbindung mit AUG-0491 (The State Label), AUG-0650 (The Context-Sensitive Query) und AUG-0524 (The Context Layer).",compendium,2
AUG-0711,The Accent Persistence,,"The observation that the phonetic patterns of a user's first language show through even in written AI inputs — sentence melody, word order, punctuation, and formulation patterns carry a ""written accent."" Related to AUG-0683 (The Origin Language), AUG-0691 (The Dialect Decoder), and AUG-0706 (The Mother Tongue Comfort).","Die Beobachtung, dass die phonetischen Muster der Erstsprache eines Nutzers auch in schriftlichen KI-Eingaben durchscheinen — Satzmelodie, Wortstellung, Interpunktion und Formulierungsmuster tragen einen ""schriftlichen Akzent"". Steht in Verbindung mit AUG-0683 (The Origin Language), AUG-0691 (The Dialect Decoder) und AUG-0706 (The Mother Tongue Comfort).",compendium,2
AUG-0901,The Emergent Coordination,,"The observation that in multi-agent systems, coordination patterns can emerge that were not explicitly programmed — the interaction of subsystems produces behavior not intended in the individual systems. Related to AUG-0900 (The Distributed Coordination), AUG-0948 (The Scope Creep Alert), and AUG-0949 (The Unintended Action).","Die Beobachtung, dass in Multi-Agenten-Systemen Koordinationsmuster entstehen können, die nicht explizit programmiert wurden — die Interaktion der Teilsysteme erzeugt Verhalten, das in den Einzelsystemen nicht vorgesehen war. Steht in Verbindung mit AUG-0900 (The Distributed Coordination), AUG-0948 (The Scope Creep Alert) und AUG-0949 (The Unintended Action).",compendium,2
AUG-0001,Augmanitai,,"A framework concept describing the conscious, productive collaboration between humans and AI in everyday contexts. The term combines ""augmentation"" (enhancement) with ""humanitai"" (a neologism for human-centered AI use). Unlike the term ""artificial intelligence,"" which centers the machine, Augmanitai describes exclusively the human perspective during collaboration. Foundational term for the entire framework; referenced across all 21 Axioms, 9 Dimensions, and 7 Phases.","Ein Rahmenkonzept, das die bewusste, produktive Zusammenarbeit zwischen Mensch und KI im Alltag beschreibt. Der Begriff verbindet ""Augmentation"" (Erweiterung) mit ""Humanitai"" (ein Neologismus für menschenzentrierte KI-Nutzung). Im Gegensatz zum Fachbegriff ""Künstliche Intelligenz"", der die Maschine in den Mittelpunkt stellt, beschreibt Augmanitai ausschließlich die menschliche Perspektive während der Zusammenarbeit. Grundbegriff des gesamten Rahmenwerks; wird in allen 21 Axiomen, 9 Dimensionen und 7 Phasen referenziert.",compendium,1
AUG-0005,The Integrated Operator,,"A user type who does not treat AI as a separate tool but has seamlessly integrated it into their entire working and thinking process. The Integrated Operator moves fluidly between their own thinking and AI assistance without a conscious ""switching moment."" Describes an advanced state typically reached in Phase 6 (Integrated Work State). Differs from the Conductor Profile (Profile 12) in that the Integrated Operator merges rather than delegates.","Ein Nutzertyp, der KI nicht als separates Werkzeug behandelt, sondern sie nahtlos in seinen gesamten Arbeits- und Denkprozess integriert hat. Der Integrated Operator wechselt fließend zwischen eigenem Denken und KI-Unterstützung, ohne dass ein bewusster ""Umschaltmoment"" stattfindet. Beschreibt einen fortgeschrittenen Zustand, der typischerweise in Phase 6 (Integrated Work State) erreicht wird. Unterscheidet sich vom Conductor-Profil (Profil 12) dadurch, dass der Integrated Operator weniger delegiert und mehr verschmilzt.",compendium,1
AUG-0016,Poly-Categorical Mesh,,"The ability of an AI-assisted user to simultaneously connect knowledge from different disciplines into a new, interdisciplinary result. This phenomenon becomes possible at this speed and breadth only through AI and instant access to domain knowledge (just-in-time) — a single human without AI would need years of training across multiple disciplines to produce comparable connections. Related to Taxonomy Dimension 9 (Output Depth: Collage vs. Novelty), AUG-0012 (Synthetischer Polymath), and AUG-0043 (Just-in-Time Competence).","Die Fähigkeit eines KI-unterstützten Nutzers, Wissen aus verschiedenen Fachbereichen gleichzeitig zu einem neuen, fachübergreifenden Ergebnis zu verknüpfen. Dieses Phänomen wird erst durch KI und den sofortigen Zugang zu Fachwissen (Just-in-Time) in dieser Geschwindigkeit und Breite möglich — ein einzelner Mensch ohne KI bräuchte jahrelange Ausbildung in mehreren Disziplinen, um vergleichbare Verknüpfungen herzustellen. Steht in Verbindung mit Dimension 9 der Taxonomie (Output Depth: Collage vs. Novelty), AUG-0012 (Synthetischer Polymath) und AUG-0043 (Just-in-Time Competence).",compendium,2
AUG-0047,The Echo Courage,,"The phenomenon that a user, after a confirming AI interaction, gains more confidence to defend an idea before other people. The AI serves as an initial sounding board: if the idea holds there, the user is more likely to carry it into the real world. Related to AUG-0166 (The Borrowed Confidence) and AUG-0232 (The Courage Click).","Das Phänomen, dass ein Nutzer nach einer bestätigenden KI-Interaktion mehr Zuversicht hat, eine Idee auch gegenüber anderen Menschen zu vertreten. Die KI dient als erster Resonanzraum: Wenn die Idee dort besteht, traut sich der Nutzer eher, sie in die reale Welt zu tragen. Steht in Verbindung mit AUG-0166 (The Borrowed Confidence) und AUG-0232 (The Courage Click).",compendium,2
AUG-0092,Output Asymmetry,,The phenomenon that the effort required to produce a result drops drastically through AI assistance while the quality and scope of the result can remain equal or increase. Describes the fundamental shift in the input-to-output ratio in the AI era. Related to Phase 6 (Integrated Work State) and AUG-0062 (The Lightness Factor).,"Das Phänomen, dass der Aufwand für die Erstellung eines Ergebnisses durch KI-Unterstützung drastisch sinkt, während die Qualität und der Umfang des Ergebnisses gleich bleiben oder steigen können. Beschreibt die grundlegende Verschiebung des Verhältnisses von Input zu Output in der KI-Ära. Steht in Verbindung mit Phase 6 (Integrated Work State) und AUG-0062 (The Lightness Factor).",compendium,2
